"","V1"
"inaugAbrahamLincoln-1.txt",7
"inaugAbrahamLincoln-2.txt",9
"inaugAndrewJackson-1.txt",10
"inaugAndrewJackson-2.txt",7
"inaugBarackObama-1.txt",6
"inaugBarackObama-2.txt",5
"inaugBenjaminHarrison-1.txt",2
"inaugCalvinCoolidge-1.txt",4
"inaugDonaldJTrump-1.txt",8
"inaugDwightDEisenhower-1.txt",1
"inaugDwightDEisenhower-2.txt",1
"inaugFranklinDRoosevelt-1.txt",6
"inaugFranklinDRoosevelt-2.txt",6
"inaugFranklinDRoosevelt-3.txt",6
"inaugFranklinDRoosevelt-4.txt",1
"inaugFranklinPierce-1.txt",3
"inaugGeorgeBush-1.txt",6
"inaugGeorgeWashington-1.txt",10
"inaugGeorgeWashington-2.txt",2
"inaugGeorgeWBush-1.txt",8
"inaugGeorgeWBush-2.txt",1
"inaugGroverCleveland-I-1.txt",2
"inaugGroverCleveland-II-2.txt",2
"inaugHarrySTruman-1.txt",1
"inaugHerbertHoover-1.txt",4
"inaugJamesBuchanan-1.txt",3
"inaugJamesGarfield-1.txt",7
"inaugJamesKPolk-1.txt",7
"inaugJamesMadison-1.txt",10
"inaugJamesMadison-2.txt",10
"inaugJamesMonroe-1.txt",10
"inaugJamesMonroe-2.txt",9
"inaugJimmyCarter-1.txt",5
"inaugJohnAdams-1.txt",3
"inaugJohnFKennedy-1.txt",5
"inaugJohnQuincyAdams-1.txt",7
"inaugLyndonBJohnson-1.txt",5
"inaugMartinvanBuren-1.txt",10
"inaugRichardNixon-1.txt",5
"inaugRichardNixon-2.txt",5
"inaugRonaldReagan-1.txt",5
"inaugRonaldReagan-2.txt",5
"inaugRutherfordBHayes-1.txt",10
"inaugTheodoreRoosevelt-1.txt",6
"inaugThomasJefferson-1.txt",3
"inaugThomasJefferson-2.txt",10
"inaugUlyssesSGrant-1.txt",10
"inaugUlyssesSGrant-2.txt",9
"inaugWarrenGHarding-1.txt",4
"inaugWilliamHenryHarrison-1.txt",3
"inaugWilliamHowardTaft-1.txt",2
"inaugWilliamJClinton-1.txt",5
"inaugWilliamJClinton-2.txt",5
"inaugWilliamMcKinley-1.txt",2
"inaugWilliamMcKinley-2.txt",2
"inaugWoodrowWilson-1.txt",6
"inaugWoodrowWilson-2.txt",6
"inaugZacharyTaylor-1.txt",10
