"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","nations","upon","power","must","new","nation","government","will","great","country"
"2","freedom","shall","may","can","world","life","states","now","war","public"
"3","peace","people","people","government","let","men","constitution","american","made","every"
"4","world","laws","can","people","time","justice","union","every","years","just"
"5","free","law","one","progress","work","know","united","right","without","principles"
"6","faith","may","citizens","better","people","day","powers","make","force","confidence"
"7","hope","national","spirit","one","god","good","state","president","always","foreign"
"8","can","policy","might","old","together","things","rights","never","every","interests"
"9","human","service","others","much","make","toward","within","long","well","political"
"10","security","public","well","american","history","first","whole","oath","part","interest"
"11","country","administration","ever","economy","land","see","people","citizens","high","office"
"12","liberty","purpose","free","system","need","spirit","administration","another","since","support"
"13","believe","among","far","many","years","find","among","national","peace","trust"
"14","means","secure","even","way","stand","seek","interests","one","full","duties"
"15","history","duty","true","new","come","yet","duties","believe","best","rights"
"16","future","political","liberty","justice","home","success","equal","take","less","important"
"17","never","take","also","good","strength","common","foreign","protect","called","best"
"18","must","hope","time","come","end","purpose","system","given","long","duty"
"19","man","civil","without","times","responsibility","strength","present","chief","give","prosperity"
"20","common","give","many","responsibility","now","meet","best","way","duty","present"
